vodik,H,1,1.01
helij,He,2,4.00
litij,Li,3,6.94
berilij,Be,4,9.01
bor,B,5,10.81
ogljik,C,6,12.01
dusik,N,7,14.01
kisik,O,7,16.00
fluor,F,9,19.00
neon,Ne,10,20.18
natrij,Na,11,22.99
magnezij,Mg,12,24.31
aluminij,Al,13,26.98
silicij,Si,14,28.09
fosfor,P,15,30.97
zveplo,S,16,32.06
klor,Cl,17,35.45
argon,Ar,18,39.95
kalij,K,19,39.10
kalcij,Ca,20,40.10
galij,Ga,31,69.72
germanij,Ge,32,72.63
arzen,As,33,74.92
selen,Se,34,78.97
brom,Br,35,79.90
kripton,Kr,36,83.80
rubidij,Rb,37,85.47
stroncij,Sr,38,87.62
indij,In,49,114.82
kositer,Sn,50,118.71
antimon,Sb,51,121.76
telur,Te,52,127.61
jod,I,53,126.90
ksenon,Xe,54,131.29
cezij,Cs,55,132.91
barij,Ba,56,137.33
talij,Tl,81,204.38
svinec,Pb,82,207.20
bizmut,Bi,83,208.98
polonij,Po,84,209.00
astat,At,85,210.00
radon,Rn,86,222.00
francij,Fr,87,223.00
radij,Ra,88,226.00
nihonium,Nh,113,286.00
ununkvadij,Fl,114,289.00
moscovium,Mc,115,290.00
ununheksij,Lv,116,293.00
tennessine,Ts,117,294.00
oganesson,Og,118,294.00
